| year_film | year_ceremony | ceremony | category                     | name                    | film                              | winner |
| --------- | ------------- | -------- | ---------------------------- | ----------------------- | --------------------------------- | ------ |
| 1927      | 1928          | 1        | ACTOR                        | Richard Barthelmess     | The Noose                         | False  |
| 1927      | 1928          | 1        | ACTOR                        | Emil Jannings           | The Last Command                  | True   |
| 1927      | 1928          | 1        | ACTRESS                      | Louise Dresser          | A Ship Comes In                   | False  |
| 1927      | 1928          | 1        | ACTRESS                      | Janet Gaynor            | 7th Heaven                        | True   |
| 1927      | 1928          | 1        | ACTRESS                      | Gloria Swanson          | Sadie Thompson                    | False  |
| 1927      | 1928          | 1        | ART DIRECTION                | Rochus Gliese           | Sunrise                           | False  |
| 1927      | 1928          | 1        | ART DIRECTION                | William Cameron Menzies | The Dove                          | True   |
| 1927      | 1928          | 1        | ART DIRECTION                | Harry Oliver            | 7th Heaven                        | False  |
| 1927      | 1928          | 1        | CINEMATOGRAPHY               | George Barnes           | The Devil Dancer                  | False  |
| 1927      | 1928          | 1        | CINEMATOGRAPHY               | Charles Rosher          | Sunrise                           | True   |
| 1927      | 1928          | 1        | CINEMATOGRAPHY               | Karl Struss             | Sunrise                           | True   |
| 1927      | 1928          | 1        | DIRECTING (Comedy Picture)   | Lewis Milestone         | Two Arabian Knights               | True   |
| 1927      | 1928          | 1        | DIRECTING (Comedy Picture)   | Ted Wilde               | Speedy                            | False  |
| 1927      | 1928          | 1        | DIRECTING (Dramatic Picture) | Frank Borzage           | 7th Heaven                        | True   |
| 1927      | 1928          | 1        | DIRECTING (Dramatic Picture) | Herbert Brenon          | Sorrell and Son                   | False  |
| 1927      | 1928          | 1        | DIRECTING (Dramatic Picture) | King Vidor              | The Crowd                         | False  |
| 1927      | 1928          | 1        | ENGINEERING EFFECTS          | Ralph Hammeras          |                                   | False  |
| 1927      | 1928          | 1        | ENGINEERING EFFECTS          | Roy Pomeroy             | Wings                             | True   |
| 1927      | 1928          | 1        | ENGINEERING EFFECTS          | Nugent Slaughter        |                                   | False  |
| 1927      | 1928          | 1        | OUTSTANDING PICTURE          | The Caddo Company       | The Racket                        | False  |
| 1927      | 1928          | 1        | OUTSTANDING PICTURE          | Fox                     | 7th Heaven                        | False  |
| 1927      | 1928          | 1        | OUTSTANDING PICTURE          | Paramount Famous Lasky  | Wings                             | True   |
| 1927      | 1928          | 1        | UNIQUE AND ARTISTIC PICTURE  | Fox                     | Sunrise                           | True   |
| 1927      | 1928          | 1        | UNIQUE AND ARTISTIC PICTURE  | Metro-Goldwyn-Mayer     | The Crowd                         | False  |
| 1927      | 1928          | 1        | UNIQUE AND ARTISTIC PICTURE  | Paramount Famous Lasky  | Chang                             | False  |
| 1927      | 1928          | 1        | WRITING (Adaptation)         | Alfred Cohn             | The Jazz Singer                   | False  |
| 1927      | 1928          | 1        | WRITING (Adaptation)         | Anthony Coldeway        | Glorious Betsy                    | False  |
| 1927      | 1928          | 1        | WRITING (Adaptation)         | Benjamin Glazer         | 7th Heaven                        | True   |
| 1927      | 1928          | 1        | WRITING (Original Story)     | Lajos Biro              | The Last Command                  | False  |
| 1927      | 1928          | 1        | WRITING (Original Story)     | Ben Hecht               | Underworld                        | True   |
| 1927      | 1928          | 1        | WRITING (Title Writing)      | Gerald Duffy            | The Private Life of Helen of Troy | False  |
| 1927      | 1928          | 1        | WRITING (Title Writing)      | Joseph Farnham          |                                   | True   |
